Context,Question,Actual Answer,Generated SQL
"CREATE TABLE status (bikes_available INTEGER, station_id VARCHAR, id VARCHAR, city VARCHAR); CREATE TABLE station (bikes_available INTEGER, station_id VARCHAR, id VARCHAR, city VARCHAR)",What is the average bike availability in stations that are not located in Palo Alto?,"SELECT AVG(bikes_available) FROM status WHERE NOT station_id IN (SELECT id FROM station WHERE city = ""Palo Alto"")","SELECT AVG(bikes_available) FROM status WHERE NOT station_id IN (SELECT station_id FROM station WHERE city = ""Palo Alto"")"
"CREATE TABLE station (long INTEGER, id VARCHAR, station_id VARCHAR, bikes_available INTEGER); CREATE TABLE status (long INTEGER, id VARCHAR, station_id VARCHAR, bikes_available INTEGER)",What is the average longitude of stations that never had bike availability more than 10?,SELECT AVG(long) FROM station WHERE NOT id IN (SELECT station_id FROM status GROUP BY station_id HAVING MAX(bikes_available) > 10),SELECT AVG(long) FROM station WHERE NOT id IN (SELECT station_id FROM status GROUP BY station_id HAVING MAX(bikes_available) > 10)
"CREATE TABLE weather (date VARCHAR, zip_code VARCHAR, max_temperature_f VARCHAR)",When and in what zip code did max temperature reach 80?,"SELECT date, zip_code FROM weather WHERE max_temperature_f >= 80","SELECT date, zip_code FROM weather WHERE max_temperature_f = 80"
"CREATE TABLE trip (id VARCHAR, zip_code VARCHAR); CREATE TABLE weather (zip_code VARCHAR, mean_temperature_f INTEGER)",Give me ids for all the trip that took place in a zip code area with average mean temperature above 60.,SELECT T1.id FROM trip AS T1 JOIN weather AS T2 ON T1.zip_code = T2.zip_code GROUP BY T2.zip_code HAVING AVG(T2.mean_temperature_f) > 60,SELECT id FROM trip WHERE zip_code = 'A' GROUP BY id HAVING AVG(mean_temperature_f) > 60
"CREATE TABLE weather (zip_code VARCHAR, max_wind_Speed_mph VARCHAR)","For each zip code, return how many times max wind speed reached 25?","SELECT zip_code, COUNT(*) FROM weather WHERE max_wind_Speed_mph >= 25 GROUP BY zip_code","SELECT zip_code, COUNT(*) FROM weather WHERE max_wind_Speed_mph = 25 GROUP BY zip_code"
"CREATE TABLE weather (date VARCHAR, zip_code VARCHAR, min_dew_point_f INTEGER)",On which day and in which zip code was the min dew point lower than any day in zip code 94107?,"SELECT date, zip_code FROM weather WHERE min_dew_point_f < (SELECT MIN(min_dew_point_f) FROM weather WHERE zip_code = 94107)","SELECT date, zip_code FROM weather WHERE min_dew_point_f  (SELECT MIN(min_dew_point_f) FROM weather WHERE zip_code = 94107)"
"CREATE TABLE station (installation_date VARCHAR, id VARCHAR); CREATE TABLE trip (id VARCHAR, end_station_id VARCHAR)","For each trip, return its ending station's installation date.","SELECT T1.id, T2.installation_date FROM trip AS T1 JOIN station AS T2 ON T1.end_station_id = T2.id",SELECT T1.id FROM trip AS T1 JOIN station AS T2 ON T1.end_station_id = T2.id
"CREATE TABLE trip (id VARCHAR, start_station_id VARCHAR); CREATE TABLE station (id VARCHAR, dock_count VARCHAR)",Which trip started from the station with the largest dock count? Give me the trip id.,SELECT T1.id FROM trip AS T1 JOIN station AS T2 ON T1.start_station_id = T2.id ORDER BY T2.dock_count DESC LIMIT 1,SELECT t3.id FROM station AS t1 JOIN trip AS t2 ON t1.start_station_id = t2.id ORDER BY t1.dock_count DESC LIMIT 1
"CREATE TABLE trip (end_station_id VARCHAR); CREATE TABLE station (id VARCHAR, city VARCHAR)",Count the number of trips that did not end in San Francisco city.,"SELECT COUNT(*) FROM trip AS T1 JOIN station AS T2 ON T1.end_station_id = T2.id WHERE T2.city <> ""San Francisco""","SELECT COUNT(*) FROM trip WHERE NOT id IN (SELECT id FROM station WHERE city = ""San Francisco"")"
"CREATE TABLE weather (date VARCHAR, EVENTS VARCHAR, zip_code VARCHAR)","In zip code 94107, on which day neither Fog nor Rain was not observed?","SELECT date FROM weather WHERE zip_code = 94107 AND EVENTS <> ""Fog"" AND EVENTS <> ""Rain""",SELECT date FROM weather WHERE EVENTS = 94107 AND zip_code = 94107
"CREATE TABLE status (id VARCHAR, station_id VARCHAR, lat INTEGER, bikes_available INTEGER); CREATE TABLE station (id VARCHAR, station_id VARCHAR, lat INTEGER, bikes_available INTEGER)",What are the ids of stations that have latitude above 37.4 and never had bike availability below 7?,SELECT id FROM station WHERE lat > 37.4 EXCEPT SELECT station_id FROM status GROUP BY station_id HAVING MIN(bikes_available) < 7,"SELECT station_id FROM station WHERE lat > 37.4"" INTERSECT SELECT station_id FROM status WHERE bikes_available  7"
"CREATE TABLE station (name VARCHAR, id VARCHAR); CREATE TABLE status (station_id VARCHAR); CREATE TABLE station (name VARCHAR, city VARCHAR, bikes_available INTEGER)",What are names of stations that have average bike availability above 10 and are not located in San Jose city?,"SELECT T1.name FROM station AS T1 JOIN status AS T2 ON T1.id = T2.station_id GROUP BY T2.station_id HAVING AVG(bikes_available) > 10 EXCEPT SELECT name FROM station WHERE city = ""San Jose""","SELECT name FROM station WHERE city = ""San Jose"" GROUP BY name HAVING AVG(bikes_available) > 10"
"CREATE TABLE station (name VARCHAR, lat VARCHAR, city VARCHAR)","What are the name, latitude, and city of the station with the lowest latitude?","SELECT name, lat, city FROM station ORDER BY lat LIMIT 1","SELECT name, lat, city FROM station ORDER BY lat LIMIT 1"
"CREATE TABLE weather (date VARCHAR, mean_temperature_f VARCHAR, mean_humidity VARCHAR, max_gust_speed_mph VARCHAR)","What are the date, mean temperature and mean humidity for the top 3 days with the largest max gust speeds?","SELECT date, mean_temperature_f, mean_humidity FROM weather ORDER BY max_gust_speed_mph DESC LIMIT 3","SELECT date, mean_temperature_f, mean_humidity FROM weather WHERE max_gust_speed_mph = (SELECT max_gust_speed_mph FROM weather ORDER BY max_gust_speed_mph DESC LIMIT 1)"
CREATE TABLE station (city VARCHAR),List the name and the number of stations for all the cities that have at least 15 stations.,"SELECT city, COUNT(*) FROM station GROUP BY city HAVING COUNT(*) >= 15","SELECT city, COUNT(*) FROM station GROUP BY city HAVING COUNT(*) >= 15"
"CREATE TABLE trip (start_station_id VARCHAR, start_station_name VARCHAR)",Find the ids and names of stations from which at least 200 trips started.,"SELECT start_station_id, start_station_name FROM trip GROUP BY start_station_name HAVING COUNT(*) >= 200","SELECT start_station_id, start_station_name FROM trip GROUP BY start_station_id HAVING COUNT(*) >= 200"
"CREATE TABLE weather (zip_code VARCHAR, mean_visibility_miles INTEGER)",Find the zip code in which the average mean visibility is lower than 10.,SELECT zip_code FROM weather GROUP BY zip_code HAVING AVG(mean_visibility_miles) < 10,SELECT zip_code FROM weather GROUP BY zip_code HAVING AVG(mean_visibility_miles)  10
"CREATE TABLE station (city VARCHAR, lat INTEGER)",List all the cities in a decreasing order of each city's stations' highest latitude.,SELECT city FROM station GROUP BY city ORDER BY MAX(lat) DESC,SELECT city FROM station GROUP BY city ORDER BY MAX(lat) DESC
"CREATE TABLE weather (date VARCHAR, cloud_cover VARCHAR)",What are the dates that had the top 5 cloud cover rates? Also tell me the cloud cover rate.,"SELECT date, cloud_cover FROM weather ORDER BY cloud_cover DESC LIMIT 5","SELECT date, cloud_cover FROM weather ORDER BY cloud_cover DESC LIMIT 5"
"CREATE TABLE trip (id VARCHAR, duration VARCHAR)",What are the ids and durations of the trips with the top 3 durations?,"SELECT id, duration FROM trip ORDER BY duration DESC LIMIT 3","SELECT id, duration FROM trip ORDER BY duration DESC LIMIT 3"
"CREATE TABLE station (name VARCHAR, long VARCHAR, id VARCHAR); CREATE TABLE trip (duration INTEGER, start_station_id VARCHAR)","For each station, return its longitude and the average duration of trips that started from the station.","SELECT T1.name, T1.long, AVG(T2.duration) FROM station AS T1 JOIN trip AS T2 ON T1.id = T2.start_station_id GROUP BY T2.start_station_id","SELECT T1.name, T1.long, AVG(T2.duration) FROM station AS T1 JOIN trip AS T2 ON T1.id = T2.start_station_id GROUP BY T1.start_station_id"
"CREATE TABLE trip (duration INTEGER, end_station_id VARCHAR); CREATE TABLE station (name VARCHAR, lat VARCHAR, id VARCHAR)","For each station, find its latitude and the minimum duration of trips that ended at the station.","SELECT T1.name, T1.lat, MIN(T2.duration) FROM station AS T1 JOIN trip AS T2 ON T1.id = T2.end_station_id GROUP BY T2.end_station_id","SELECT T1.name, T1.lat, MIN(T2.duration) FROM station AS T1 JOIN trip AS T2 ON T1.end_station_id = T2.id GROUP BY T1.end_station_id"
"CREATE TABLE trip (start_station_name VARCHAR, duration INTEGER)",List all the distinct stations from which a trip of duration below 100 started.,SELECT DISTINCT start_station_name FROM trip WHERE duration < 100,SELECT DISTINCT start_station_name FROM trip WHERE duration  100
"CREATE TABLE weather (zip_code VARCHAR, max_dew_point_f VARCHAR)",Find all the zip codes in which the max dew point have never reached 70.,SELECT DISTINCT zip_code FROM weather EXCEPT SELECT DISTINCT zip_code FROM weather WHERE max_dew_point_f >= 70,SELECT zip_code FROM weather WHERE max_dew_point_f = '70'
"CREATE TABLE trip (id VARCHAR, duration INTEGER, zip_code VARCHAR)",Find the id for the trips that lasted at least as long as the average duration of trips in zip code 94103.,SELECT id FROM trip WHERE duration >= (SELECT AVG(duration) FROM trip WHERE zip_code = 94103),SELECT id FROM trip WHERE duration >= (SELECT AVG(duration) FROM trip WHERE zip_code = 94103)
"CREATE TABLE weather (date VARCHAR, mean_sea_level_pressure_inches INTEGER)",What are the dates in which the mean sea level pressure was between 30.3 and 31?,SELECT date FROM weather WHERE mean_sea_level_pressure_inches BETWEEN 30.3 AND 31,SELECT date FROM weather WHERE mean_sea_level_pressure_inches BETWEEN 30.3 AND 31
"CREATE TABLE weather (date VARCHAR, max_temperature_f VARCHAR, min_temperature_f VARCHAR)",Find the day in which the difference between the max temperature and min temperature was the smallest. Also report the difference.,"SELECT date, max_temperature_f - min_temperature_f FROM weather ORDER BY max_temperature_f - min_temperature_f LIMIT 1","SELECT date, max_temperature_f, min_temperature_f FROM weather ORDER BY min_temperature_f LIMIT 1"
"CREATE TABLE station (id VARCHAR, name VARCHAR); CREATE TABLE status (station_id VARCHAR, bikes_available INTEGER)",What are the id and name of the stations that have ever had more than 12 bikes available?,"SELECT DISTINCT T1.id, T1.name FROM station AS T1 JOIN status AS T2 ON T1.id = T2.station_id WHERE T2.bikes_available > 12","SELECT id, name FROM station WHERE NOT id IN (SELECT station_id FROM status GROUP BY station_id HAVING SUM(bikes_available) > 12"
"CREATE TABLE weather (zip_code VARCHAR, mean_humidity INTEGER); CREATE TABLE trip (zip_code VARCHAR, mean_humidity INTEGER)",Give me the zip code where the average mean humidity is below 70 and at least 100 trips took place.,SELECT zip_code FROM weather GROUP BY zip_code HAVING AVG(mean_humidity) < 70 INTERSECT SELECT zip_code FROM trip GROUP BY zip_code HAVING COUNT(*) >= 100,SELECT zip_code FROM weather GROUP BY zip_code HAVING AVG(mean_humidity)  70 INTERSECT SELECT zip_code FROM trip GROUP BY zip_code HAVING COUNT(*) >= 100
"CREATE TABLE trip (name VARCHAR, end_station_name VARCHAR, city VARCHAR); CREATE TABLE station (name VARCHAR, end_station_name VARCHAR, city VARCHAR)",What are the names of stations that are located in Palo Alto city but have never been the ending point of trips more than 100 times?,"SELECT name FROM station WHERE city = ""Palo Alto"" EXCEPT SELECT end_station_name FROM trip GROUP BY end_station_name HAVING COUNT(*) > 100","SELECT name FROM station WHERE city = ""Palo Alto"" EXCEPT SELECT end_station_name FROM trip GROUP BY end_station_name HAVING COUNT(*) > 100"
"CREATE TABLE station (city VARCHAR, id VARCHAR); CREATE TABLE trip (end_station_id VARCHAR, id VARCHAR); CREATE TABLE station (id VARCHAR, city VARCHAR); CREATE TABLE trip (start_station_id VARCHAR, id VARCHAR)",How many trips started from Mountain View city and ended at Palo Alto city?,"SELECT COUNT(*) FROM station AS T1 JOIN trip AS T2 JOIN station AS T3 JOIN trip AS T4 ON T1.id = T2.start_station_id AND T2.id = T4.id AND T3.id = T4.end_station_id WHERE T1.city = ""Mountain View"" AND T3.city = ""Palo Alto""",SELECT COUNT(*) FROM trip AS T1 JOIN station AS T2 ON T1.start_station_id = T2.id WHERE T2.city = 'Mountain View' AND T2.city = 'Palo Alto city'
"CREATE TABLE trip (start_station_id VARCHAR); CREATE TABLE station (lat INTEGER, long INTEGER, id VARCHAR)",What is the average latitude and longitude of the starting points of all trips?,"SELECT AVG(T1.lat), AVG(T1.long) FROM station AS T1 JOIN trip AS T2 ON T1.id = T2.start_station_id","SELECT AVG(T1.lat), AVG(T1.long) FROM station AS T1 JOIN trip AS T2 ON T1.start_station_id = T2.id"
CREATE TABLE book (Id VARCHAR),How many books are there?,SELECT COUNT(*) FROM book,SELECT COUNT(*) FROM book
CREATE TABLE book (Writer VARCHAR),List the writers of the books in ascending alphabetical order.,SELECT Writer FROM book ORDER BY Writer,SELECT Writer FROM book ORDER BY Writer
"CREATE TABLE book (Title VARCHAR, Issues VARCHAR)",List the titles of the books in ascending order of issues.,SELECT Title FROM book ORDER BY Issues,SELECT Title FROM book ORDER BY Issues
"CREATE TABLE book (Title VARCHAR, Writer VARCHAR)","What are the titles of the books whose writer is not ""Elaine Lee""?","SELECT Title FROM book WHERE Writer <> ""Elaine Lee""","SELECT Title FROM book WHERE Writer > ""Elaine Lee"""
"CREATE TABLE book (Title VARCHAR, Issues VARCHAR)",What are the title and issues of the books?,"SELECT Title, Issues FROM book","SELECT Title, Issues FROM book"
"CREATE TABLE publication (Publication_Date VARCHAR, Price VARCHAR)",What are the dates of publications in descending order of price?,SELECT Publication_Date FROM publication ORDER BY Price DESC,SELECT Publication_Date FROM publication ORDER BY Price DESC
"CREATE TABLE publication (Publisher VARCHAR, Price INTEGER)",What are the distinct publishers of publications with price higher than 5000000?,SELECT DISTINCT Publisher FROM publication WHERE Price > 5000000,SELECT DISTINCT Publisher FROM publication WHERE Price > 5000000
"CREATE TABLE publication (Publisher VARCHAR, Price VARCHAR)",List the publisher of the publication with the highest price.,SELECT Publisher FROM publication ORDER BY Price DESC LIMIT 1,SELECT Publisher FROM publication ORDER BY Price DESC LIMIT 1
"CREATE TABLE publication (Publication_Date VARCHAR, Price VARCHAR)",List the publication dates of publications with 3 lowest prices.,SELECT Publication_Date FROM publication ORDER BY Price LIMIT 3,SELECT Publication_Date FROM publication WHERE Price = 3
"CREATE TABLE book (Title VARCHAR, Book_ID VARCHAR); CREATE TABLE publication (Publication_Date VARCHAR, Book_ID VARCHAR)",Show the title and publication dates of books.,"SELECT T1.Title, T2.Publication_Date FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID","SELECT T2.Title, T2.Publication_Date FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID"
"CREATE TABLE publication (Book_ID VARCHAR, Price INTEGER); CREATE TABLE book (Writer VARCHAR, Book_ID VARCHAR)",Show writers who have published a book with price more than 4000000.,SELECT T1.Writer FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID WHERE T2.Price > 4000000,SELECT T1.Writer FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID WHERE T2.Price > 4000000
"CREATE TABLE publication (Book_ID VARCHAR, Price VARCHAR); CREATE TABLE book (Title VARCHAR, Book_ID VARCHAR)",Show the titles of books in descending order of publication price.,SELECT T1.Title FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID ORDER BY T2.Price DESC,SELECT Title FROM book WHERE NOT Book_ID IN (SELECT Book_ID FROM publication ORDER BY Price DESC
CREATE TABLE publication (Publisher VARCHAR),Show publishers that have more than one publication.,SELECT Publisher FROM publication GROUP BY Publisher HAVING COUNT(*) > 1,SELECT Publisher FROM publication GROUP BY Publisher HAVING COUNT(*) > 1
CREATE TABLE publication (Publisher VARCHAR),Show different publishers together with the number of publications they have.,"SELECT Publisher, COUNT(*) FROM publication GROUP BY Publisher","SELECT Publisher, COUNT(*) FROM publication GROUP BY Publisher"
CREATE TABLE publication (Publication_Date VARCHAR),Please show the most common publication date.,SELECT Publication_Date FROM publication GROUP BY Publication_Date ORDER BY COUNT(*) DESC LIMIT 1,SELECT Publication_Date FROM publication GROUP BY Publication_Date ORDER BY COUNT(*) DESC LIMIT 1
CREATE TABLE book (Writer VARCHAR),List the writers who have written more than one book.,SELECT Writer FROM book GROUP BY Writer HAVING COUNT(*) > 1,SELECT Writer FROM book GROUP BY Writer HAVING COUNT(*) > 1
"CREATE TABLE book (Title VARCHAR, Book_ID VARCHAR); CREATE TABLE publication (Title VARCHAR, Book_ID VARCHAR)",List the titles of books that are not published.,SELECT Title FROM book WHERE NOT Book_ID IN (SELECT Book_ID FROM publication),SELECT Title FROM book WHERE NOT Book_ID IN (SELECT Book_ID FROM publication)
"CREATE TABLE publication (Publisher VARCHAR, Price INTEGER)",Show the publishers that have publications with price higher than 10000000 and publications with price lower than 5000000.,SELECT Publisher FROM publication WHERE Price > 10000000 INTERSECT SELECT Publisher FROM publication WHERE Price < 5000000,SELECT Publisher FROM publication WHERE Price > 10000000 INTERSECT SELECT Publisher FROM publication WHERE Price  5000000
CREATE TABLE publication (Publication_Date VARCHAR),What is the number of distinct publication dates?,SELECT COUNT(DISTINCT Publication_Date) FROM publication,SELECT COUNT(DISTINCT Publication_Date) FROM publication
"CREATE TABLE publication (Price VARCHAR, Publisher VARCHAR)","Show the prices of publications whose publisher is either ""Person"" or ""Wiley""","SELECT Price FROM publication WHERE Publisher = ""Person"" OR Publisher = ""Wiley""","SELECT Price FROM publication WHERE Publisher = ""Person"" OR Publisher = ""Wiley"""
CREATE TABLE actor (Id VARCHAR),How many actors are there?,SELECT COUNT(*) FROM actor,SELECT COUNT(*) FROM actor
CREATE TABLE actor (Name VARCHAR),List the name of actors in ascending alphabetical order.,SELECT Name FROM actor ORDER BY Name,SELECT Name FROM actor ORDER BY Name
"CREATE TABLE actor (Character VARCHAR, Duration VARCHAR)",What are the characters and duration of actors?,"SELECT Character, Duration FROM actor","SELECT Character, Duration FROM actor"
"CREATE TABLE actor (Name VARCHAR, Age VARCHAR)",List the name of actors whose age is not 20.,SELECT Name FROM actor WHERE Age <> 20,SELECT Name FROM actor WHERE Age > 20
"CREATE TABLE actor (Character VARCHAR, age VARCHAR)",What are the characters of actors in descending order of age?,SELECT Character FROM actor ORDER BY age DESC,SELECT Character FROM actor ORDER BY age DESC
"CREATE TABLE actor (Duration VARCHAR, Age VARCHAR)",What is the duration of the oldest actor?,SELECT Duration FROM actor ORDER BY Age DESC LIMIT 1,SELECT Duration FROM actor WHERE Age = (SELECT Older AS actor FROM actor)
"CREATE TABLE musical (Name VARCHAR, Nominee VARCHAR)","What are the names of musicals with nominee ""Bob Fosse""?","SELECT Name FROM musical WHERE Nominee = ""Bob Fosse""","SELECT Name FROM musical WHERE Nominee = ""Bob Fosse"""
"CREATE TABLE musical (Nominee VARCHAR, Award VARCHAR)","What are the distinct nominees of the musicals with the award that is not ""Tony Award""?","SELECT DISTINCT Nominee FROM musical WHERE Award <> ""Tony Award""","SELECT DISTINCT nominee FROM musical WHERE Award > ""Tony Award"""
"CREATE TABLE actor (Name VARCHAR, Musical_ID VARCHAR); CREATE TABLE musical (Name VARCHAR, Musical_ID VARCHAR)",Show names of actors and names of musicals they are in.,"SELECT T1.Name, T2.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID = T2.Musical_ID","SELECT T2.Name, T2.Name FROM musical AS T1 JOIN actor AS T2 ON T1.Musical_ID = T2.Musical_ID"
"CREATE TABLE actor (Name VARCHAR, Musical_ID VARCHAR); CREATE TABLE musical (Musical_ID VARCHAR, Name VARCHAR)","Show names of actors that have appeared in musical with name ""The Phantom of the Opera"".","SELECT T1.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID = T2.Musical_ID WHERE T2.Name = ""The Phantom of the Opera""","SELECT T2.Name FROM musical AS T1 JOIN actor AS T2 ON T1.Musical_ID = T2.Musical_ID WHERE T1.Name = ""The Phantom of the Opera"""
"CREATE TABLE musical (Musical_ID VARCHAR, Year VARCHAR); CREATE TABLE actor (Name VARCHAR, Musical_ID VARCHAR)",Show names of actors in descending order of the year their musical is awarded.,SELECT T1.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID = T2.Musical_ID ORDER BY T2.Year DESC,SELECT T2.Name FROM musical AS T1 JOIN actor AS T2 ON T1.Musical_ID = T2.Musical_ID ORDER BY T1.Year DESC
"CREATE TABLE actor (Musical_ID VARCHAR); CREATE TABLE musical (Name VARCHAR, Musical_ID VARCHAR)",Show names of musicals and the number of actors who have appeared in the musicals.,"SELECT T2.Name, COUNT(*) FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID = T2.Musical_ID GROUP BY T1.Musical_ID","SELECT T2.Name, COUNT(*) FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID = T2.Musical_ID GROUP BY T1.Musical_ID"
"CREATE TABLE actor (Musical_ID VARCHAR); CREATE TABLE musical (Name VARCHAR, Musical_ID VARCHAR)",Show names of musicals which have at least three actors.,SELECT T2.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID = T2.Musical_ID GROUP BY T1.Musical_ID HAVING COUNT(*) >= 3,SELECT T2.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID = T2.Musical_ID GROUP BY T1.Musical_ID HAVING COUNT(*) >= 3
CREATE TABLE musical (Nominee VARCHAR),Show different nominees and the number of musicals they have been nominated.,"SELECT Nominee, COUNT(*) FROM musical GROUP BY Nominee","SELECT Nominee, COUNT(*) FROM musical GROUP BY Nominee"
CREATE TABLE musical (Nominee VARCHAR),Please show the nominee who has been nominated the greatest number of times.,SELECT Nominee FROM musical GROUP BY Nominee ORDER BY COUNT(*) DESC LIMIT 1,SELECT Nominee FROM musical GROUP BY Nominee ORDER BY COUNT(*) DESC LIMIT 1
CREATE TABLE musical (RESULT VARCHAR),List the most common result of the musicals.,SELECT RESULT FROM musical GROUP BY RESULT ORDER BY COUNT(*) DESC LIMIT 1,SELECT RESULT FROM musical GROUP BY RESULT ORDER BY COUNT(*) DESC LIMIT 1
CREATE TABLE musical (Nominee VARCHAR),List the nominees that have been nominated more than two musicals.,SELECT Nominee FROM musical GROUP BY Nominee HAVING COUNT(*) > 2,SELECT Nominee FROM musical GROUP BY Nominee HAVING COUNT(*) > 2
"CREATE TABLE actor (Name VARCHAR, Musical_ID VARCHAR); CREATE TABLE musical (Name VARCHAR, Musical_ID VARCHAR)",List the name of musicals that do not have actors.,SELECT Name FROM musical WHERE NOT Musical_ID IN (SELECT Musical_ID FROM actor),SELECT Name FROM musical WHERE NOT Musical_ID IN (SELECT Musical_ID FROM actor)
"CREATE TABLE musical (Nominee VARCHAR, Award VARCHAR)","Show the nominees that have nominated musicals for both ""Tony Award"" and ""Drama Desk Award"".","SELECT Nominee FROM musical WHERE Award = ""Tony Award"" INTERSECT SELECT Nominee FROM musical WHERE Award = ""Drama Desk Award""","SELECT Nominee FROM musical WHERE Award = ""Tony Award"" INTERSECT SELECT Nominee FROM musical WHERE Award = ""Drama Desk Award"""
"CREATE TABLE musical (Nominee VARCHAR, Award VARCHAR)","Show the musical nominee with award ""Bob Fosse"" or ""Cleavant Derricks"".","SELECT Nominee FROM musical WHERE Award = ""Tony Award"" OR Award = ""Cleavant Derricks""","SELECT nominee FROM musical WHERE Award = ""Bob Fosse"" OR Award = ""Cleavant Derricks"""
"CREATE TABLE user_profiles (email VARCHAR, name VARCHAR)","Find the emails of the user named ""Mary"".",SELECT email FROM user_profiles WHERE name = 'Mary',"SELECT email FROM user_profiles WHERE name = ""Mary"""
"CREATE TABLE user_profiles (partitionid VARCHAR, name VARCHAR)","What is the partition id of the user named ""Iron Man"".",SELECT partitionid FROM user_profiles WHERE name = 'Iron Man',"SELECT partitionid FROM user_profiles WHERE name = ""Iron Man"""
CREATE TABLE user_profiles (Id VARCHAR),How many users are there?,SELECT COUNT(*) FROM user_profiles,SELECT COUNT(*) FROM user_profiles
CREATE TABLE follows (Id VARCHAR),How many followers does each user have?,SELECT COUNT(*) FROM follows,"SELECT COUNT(*), user FROM follows GROUP BY user"
CREATE TABLE follows (f1 VARCHAR),Find the number of followers for each user.,SELECT COUNT(*) FROM follows GROUP BY f1,"SELECT COUNT(*), f1 FROM follows GROUP BY f1"
CREATE TABLE tweets (Id VARCHAR),Find the number of tweets in record.,SELECT COUNT(*) FROM tweets,SELECT COUNT(*) FROM tweets
CREATE TABLE tweets (UID VARCHAR),Find the number of users who posted some tweets.,SELECT COUNT(DISTINCT UID) FROM tweets,SELECT COUNT(*) FROM tweets
"CREATE TABLE user_profiles (name VARCHAR, email VARCHAR)",Find the name and email of the user whose name contains the word ‘Swift’.,"SELECT name, email FROM user_profiles WHERE name LIKE '%Swift%'","SELECT name, email FROM user_profiles WHERE name LIKE '%Swift%'"
"CREATE TABLE user_profiles (name VARCHAR, email VARCHAR)",Find the names of users whose emails contain ‘superstar’ or ‘edu’.,SELECT name FROM user_profiles WHERE email LIKE '%superstar%' OR email LIKE '%edu%',SELECT name FROM user_profiles WHERE email LIKE '%superstar%' OR email LIKE '%edu%'
CREATE TABLE tweets (text VARCHAR),Return the text of tweets about the topic 'intern'.,SELECT text FROM tweets WHERE text LIKE '%intern%',SELECT text FROM tweets WHERE NOT text LIKE '%intern%'
"CREATE TABLE user_profiles (name VARCHAR, email VARCHAR, followers INTEGER)",Find the name and email of the users who have more than 1000 followers.,"SELECT name, email FROM user_profiles WHERE followers > 1000","SELECT name, email FROM user_profiles WHERE followers > 1000"
"CREATE TABLE follows (f1 VARCHAR); CREATE TABLE user_profiles (name VARCHAR, uid VARCHAR)","Find the names of the users whose number of followers is greater than that of the user named ""Tyler Swift"".",SELECT T1.name FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid = T2.f1 GROUP BY T2.f1 HAVING COUNT(*) > (SELECT COUNT(*) FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid = T2.f1 WHERE T1.name = 'Tyler Swift'),SELECT T1.name FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid = T2.f1 WHERE COUNT(*) > (SELECT user_profiles FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid = T2.f1 WHERE T2.name = 'Tyler Swift')
"CREATE TABLE follows (f1 VARCHAR); CREATE TABLE user_profiles (name VARCHAR, email VARCHAR, uid VARCHAR)",Find the name and email for the users who have more than one follower.,"SELECT T1.name, T1.email FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid = T2.f1 GROUP BY T2.f1 HAVING COUNT(*) > 1","SELECT T1.name, T1.email FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid = T2.f1 GROUP BY T1.f1 HAVING COUNT(*) > 1"
"CREATE TABLE tweets (uid VARCHAR); CREATE TABLE user_profiles (name VARCHAR, uid VARCHAR)",Find the names of users who have more than one tweet.,SELECT T1.name FROM user_profiles AS T1 JOIN tweets AS T2 ON T1.uid = T2.uid GROUP BY T2.uid HAVING COUNT(*) > 1,SELECT T1.name FROM user_profiles AS T1 JOIN tweets AS T2 ON T1.uid = T2.uid GROUP BY T1.uid HAVING COUNT(*) > 1
"CREATE TABLE follows (f1 VARCHAR, f2 VARCHAR); CREATE TABLE user_profiles (uid VARCHAR, name VARCHAR)",Find the id of users who are followed by Mary and Susan.,"SELECT T2.f1 FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid = T2.f2 WHERE T1.name = ""Mary"" INTERSECT SELECT T2.f1 FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid = T2.f2 WHERE T1.name = ""Susan""",SELECT T1.f1 FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid = T2.f2 WHERE T2.name = 'Mary' INTERSECT SELECT T1.f1 FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid = T2.f2 WHERE T2.name = 'Susan'
